IntCode,latitude,longitude,AccOverTime
50,40.44796457561701,-79.9904998558918,"[0, 0, 0, 1, 1, 1, 2, 0, 2, 0, 1, 0, 0, 0]"
51,40.446816136398134,-79.98922351431469,"[0, 0, 0, 1, 1, 0, 2, 0, 1, 1, 1, 2, 0, 2]"
52,40.428799176881476,-79.98414573216641,"[0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 2]"
53,40.42763778616048,-79.98406865021,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
54,40.42944864740628,-79.98414208516431,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
55,40.43012866078117,-79.98415651771991,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
56,40.42908472235474,-79.98414710274099,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
57,40.425966946472826,-79.98413818766967,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
58,40.448684345158775,-79.98936271006336,"[0, 0, 0, 0, 0, 1, 2, 2, 1, 0, 1, 0, 2, 1]"
59,40.44937952207022,-79.99011577499677,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
60,40.448349156091815,-79.9890039388319,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
61,40.44806321383919,-79.98870421222833,"[1, 0, 0, 3, 1, 3, 1, 0, 1, 0, 0, 0, 0, 0]"
62,40.42762535204773,-79.98346908073499,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
63,40.42946908888703,-79.98340434984222,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
64,40.430146487670974,-79.98337646663586,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
65,40.42909890255617,-79.98341365528181,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
66,40.425933930412974,-79.98353795171276,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
67,40.42505382465117,-79.98364714959665,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
68,40.42473095678061,-79.98372987964284,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
69,40.44881618099839,-79.98750355133015,"[0, 0, 0, 4, 4, 8, 3, 5, 3, 12, 6, 1, 3, 4]"
70,40.44849784429426,-79.98717489968232,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0]"
71,40.44822122270017,-79.98688986528367,"[0, 0, 0, 6, 2, 10, 6, 11, 9, 5, 8, 9, 5, 9]"
72,40.430141323890226,-79.98229381900542,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
73,40.428540974615366,-79.98283644425219,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
74,40.42760670558052,-79.9828711020606,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
75,40.43116884908332,-79.98261977373554,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
76,40.42947957387108,-79.98268424942722,"[0, 0, 0, 1, 0, 0, 1, 0, 1, 2, 0, 2, 0, 0]"
77,40.45258670452698,-79.991979761497,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
78,40.449430419082276,-79.9882202632438,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
79,40.45015717052706,-79.98908426603401,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
80,40.44915149733893,-79.98539403779297,"[0, 0, 0, 1, 3, 2, 1, 2, 2, 2, 1, 5, 0, 4]"
81,40.44942915586768,-79.98573211916023,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
82,40.44998781194026,-79.98641289536961,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
83,40.450324464864416,-79.9868239298252,"[0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 3, 0]"
84,40.44970950413235,-79.98607298897174,"[0, 0, 0, 3, 2, 4, 0, 2, 2, 3, 0, 1, 1, 3]"
85,40.427929061918825,-79.98213978138591,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
86,40.42569927648679,-79.98235974876415,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
87,40.42615680551578,-79.98230661806224,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
88,40.42660441787793,-79.98226932702497,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
89,40.4270452572084,-79.9822273198248,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
90,40.42883492402716,-79.98204757969465,"[0, 1, 0, 3, 2, 3, 1, 1, 2, 1, 1, 0, 2, 0]"
91,40.42976488341318,-79.98195168208908,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
92,40.43111986781009,-79.98181504304239,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
93,40.43065769347776,-79.98185994258708,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
94,40.43167762643967,-79.98176162571635,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
95,40.45068972075188,-79.98533089577073,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
96,40.45040579977326,-79.98499709423358,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2]"
97,40.451020549485285,-79.98572376372485,"[0, 0, 0, 1, 0, 1, 0, 2, 0, 2, 0, 0, 0, 0]"
98,40.42829020200456,-79.98060845608629,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
99,40.427838352612966,-79.9806519066869,"[0, 0, 0, 2, 0, 1, 3, 1, 0, 7, 1, 0, 3, 1]"
100,40.4317341035091,-79.98025877127526,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
101,40.42967888702446,-79.98046841541087,"[0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 2, 0]"
102,40.42922837525047,-79.98051370875389,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
103,40.42562489541479,-79.98087965026998,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0]"
104,40.42606450042017,-79.98083040676589,"[0, 0, 0, 0, 2, 0, 1, 5, 0, 0, 3, 1, 0, 2]"
105,40.42488786041286,-79.97997858916119,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
106,40.426517070753754,-79.98078518511376,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
107,40.42346132790807,-79.97770383208581,"[1, 0, 0, 0, 0, 0, 1, 1, 2, 3, 0, 0, 0, 0]"
108,40.423826747662794,-79.9776925421937,"[0, 0, 0, 0, 1, 0, 1, 1, 3, 0, 1, 1, 1, 0]"
109,40.42875858526715,-79.98056195754114,"[0, 1, 3, 2, 2, 5, 4, 2, 6, 0, 6, 1, 3, 2]"
110,40.426953159105366,-79.98074031685914,"[0, 0, 0, 5, 2, 1, 1, 4, 6, 4, 1, 0, 3, 0]"
111,40.431011195917186,-79.98033279279001,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
112,40.43056068429677,-79.98037808793265,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 1]"
113,40.42739955476651,-79.98069489046672,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
114,40.42050540803655,-79.98633668120334,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
115,40.421070867770794,-79.98524704052997,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
116,40.430118422210384,-79.9804227586035,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
117,40.42172807843717,-79.97926518238509,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]"
118,40.421941945975796,-79.98386570225934,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
119,40.421345187735184,-79.98220762265495,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1]"
120,40.43131915830363,-79.98030194910321,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
121,40.45097272799303,-79.98489546826865,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
122,40.45131292028479,-79.98530122759992,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
123,40.450698975560975,-79.98456829452702,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
124,40.42819966594329,-79.97918166679119,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
125,40.42775464260812,-79.97922714904985,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
126,40.42959316903345,-79.97904085663556,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
127,40.42914812853644,-79.97908723853628,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
128,40.42553781032126,-79.97945213138716,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
129,40.425980055023935,-79.97940835630568,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
130,40.428670106848436,-79.97913522521817,"[1, 1, 1, 0, 1, 2, 4, 1, 2, 0, 0, 1, 0, 3]"
131,40.42642984590019,-79.97936483057269,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
132,40.426870066962096,-79.97931919085032,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
133,40.430036716114174,-79.97900071329646,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
134,40.42731990970479,-79.97927297069901,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
135,40.43047549536436,-79.97895861459816,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
136,40.43092314096221,-79.97891950337153,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
137,40.436555670980304,-79.99872233257689,"[0, 0, 0, 1, 3, 0, 0, 1, 4, 1, 1, 0, 0, 1]"
138,40.4360680697748,-79.99746268901568,"[0, 0, 0, 1, 1, 1, 1, 0, 3, 0, 1, 0, 0, 1]"
139,40.43576745486223,-79.99664770908579,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 0]"
140,40.43537182681518,-79.99559958418334,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
141,40.438539997396155,-80.00402097771655,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
142,40.43788915310724,-80.00229940364213,"[0, 1, 0, 0, 2, 1, 1, 0, 0, 1, 0, 0, 2, 0]"
143,40.438783519077774,-80.00466341365805,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
144,40.439058353832365,-80.00538955887352,"[0, 0, 0, 1, 1, 0, 1, 0, 3, 0, 0, 0, 0, 0]"
145,40.43563232446892,-79.99628923959071,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
146,40.43689327759729,-79.99964637627139,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
147,40.43723477789602,-80.00054630093763,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
148,40.43722781967533,-79.99875282260187,"[2, 1, 3, 1, 0, 1, 3, 5, 4, 6, 0, 5, 6, 2]"
149,40.430575813911325,-80.00048498394831,"[0, 3, 2, 2, 0, 3, 0, 0, 2, 1, 1, 0, 1, 1]"
150,40.43096750590549,-80.00025280243595,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
151,40.451106157792246,-79.983959053871,"[0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0]"
152,40.450825030047795,-79.98362265454806,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
153,40.451393285889935,-79.98430464242546,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
154,40.45172811375485,-79.98470393355686,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
155,40.45055466915247,-79.98329739577437,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 3, 0, 0, 0]"
156,40.429505936233724,-79.97754857493888,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 2, 0, 0]"
157,40.42905276787539,-79.97758930878099,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
