,description,latitude,longitude,turnsign,vissign,yieldsign,stopsign,parksign,light
88,Stop,40.46351345,-80.02861217,0,0,0,1,0,0
89,Stop,40.4622216,-79.99849021,0,0,0,1,0,0
90,Stop,40.46862328,-79.90166483,0,0,0,1,0,0
91,Stop,40.44348283,-80.03085259999997,0,0,0,1,0,0
92,Stop,40.44342057,-80.03081237,0,0,0,1,0,0
93,Stop,40.44336342,-80.03076141,0,0,0,1,0,0
94,Stop,40.44328502,-80.03086947,0,0,0,1,0,0
95,Stop,40.46867021,-79.90187672,0,0,0,1,0,0
96,Stop,40.43199396,-79.95846722,0,0,0,1,0,0
97,Stop,40.43202663,-79.9583787,0,0,0,1,0,0
98,Stop,40.46859063,-79.90181771,0,0,0,1,0,0
99,Stop,40.44979826,-80.01720490000002,0,0,0,1,0,0
100,Stop,40.45370934,-79.89604908,0,0,0,1,0,0
101,Stop,40.46858451,-79.90185526,0,0,0,1,0,0
102,Stop,40.42633518,-79.91255095,0,0,0,1,0,0
103,Stop,40.42450965,-79.91203596,0,0,0,1,0,0
104,Stop,40.42446589,-79.91184092,0,0,0,1,0,0
105,Stop,40.42433566,-79.91187297,0,0,0,1,0,0
106,Stop,40.42411719,-79.91046785,0,0,0,1,0,0
107,Stop,40.42422541,-79.91031715,0,0,0,1,0,0
108,Stop,40.42399882,-79.91034803,0,0,0,1,0,0
109,Stop,40.423033200000006,-79.91182031,0,0,0,1,0,0
110,Stop,40.423852,-79.91198929,0,0,0,1,0,0
111,Stop,40.42339258,-79.91303803,0,0,0,1,0,0
112,Stop,40.46864572,-79.90195719,0,0,0,1,0,0
113,Stop,40.42328438,-79.91289054,0,0,0,1,0,0
114,Stop,40.42278309,-79.91221865,0,0,0,1,0,0
115,Stop,40.42156439,-79.91265023,0,0,0,1,0,0
116,Stop,40.42148272,-79.91281116,0,0,0,1,0,0
117,Stop,40.42138389,-79.91268107,0,0,0,1,0,0
118,Stop,40.42057731,-79.91448888,0,0,0,1,0,0
119,Stop,40.42054260000001,-79.91469005,0,0,0,1,0,0
120,Stop,40.42040734,-79.91464445,0,0,0,1,0,0
121,Stop,40.42107364,-79.91488317,0,0,0,1,0,0
122,Stop,40.42119003,-79.91493681,0,0,0,1,0,0
123,Stop,40.36578148,-79.90842463,0,0,0,1,0,0
124,Stop,40.42104801,-79.91506824,0,0,0,1,0,0
125,Stop,40.42032719,-79.91635033,0,0,0,1,0,0
126,Stop,40.42022447,-79.91623314,0,0,0,1,0,0
127,Stop,40.41985882,-79.91583366,0,0,0,1,0,0
128,Stop,40.41991396,-79.91565127,0,0,0,1,0,0
129,Stop,40.4193543,-79.91638073,0,0,0,1,0,0
130,Stop,40.41923807,-79.91626539,0,0,0,1,0,0
131,Stop,40.4197547,-79.91678498,0,0,0,1,0,0
132,Stop,40.41968731,-79.91693519,0,0,0,1,0,0
133,Stop,40.41924215,-79.91778813,0,0,0,1,0,0
134,Stop,40.36674437,-79.90914301,0,0,0,1,0,0
135,Stop,40.41931347,-79.9180927,0,0,0,1,0,0
136,Stop,40.41923199,-79.91838339,0,0,0,1,0,0
137,Stop,40.41893589,-79.91802934,0,0,0,1,0,0
138,Stop,40.41899363,-79.91789861,0,0,0,1,0,0
139,Stop,40.41879760000001,-79.91788788,0,0,0,1,0,0
140,Stop,40.41840144,-79.9184431,0,0,0,1,0,0
141,Stop,40.41834222,-79.9186389,0,0,0,1,0,0
142,Stop,40.41820132,-79.91856268,0,0,0,1,0,0
143,Stop,40.45891468,-80.03232404,0,0,0,1,0,0
144,Stop,40.41825192,-79.91839141,0,0,0,1,0,0
145,Stop,40.41773120000001,-79.91806418,0,0,0,1,0,0
146,Stop,40.4177753,-79.91786221,0,0,0,1,0,0
147,Stop,40.41763848,-79.91780588,0,0,0,1,0,0
148,Stop,40.41757722,-79.91798559,0,0,0,1,0,0
149,Stop,40.4187774,-79.9199593,0,0,0,1,0,0
150,Stop,40.41892034,-79.91998076,0,0,0,1,0,0
151,Stop,40.45886162,-80.03362223,0,0,0,1,0,0
152,Stop,40.41877629,-79.92015168,0,0,0,1,0,0
153,Stop,40.41925412,-79.91922632,0,0,0,1,0,0
154,Stop,40.41911459,-79.91918087,0,0,0,1,0,0
155,Stop,40.41907602,-79.91937357,0,0,0,1,0,0
156,Stop,40.4179774,-79.91959888,0,0,0,1,0,0
157,Stop,40.41782833,-79.91959888,0,0,0,1,0,0
158,Stop,40.41797536,-79.91978663,0,0,0,1,0,0
159,Stop,40.41723817,-79.9195506,0,0,0,1,0,0
160,Stop,40.41723204,-79.91936821,0,0,0,1,0,0
161,Stop,40.4171132,-79.91955596,0,0,0,1,0,0
162,Stop,40.45889835,-80.0334183,0,0,0,1,0,0
163,Stop,40.4143697,-79.92199232,0,0,0,1,0,0
164,Stop,40.41449931,-79.92217771,0,0,0,1,0,0
165,Stop,40.45871356,-80.03358195,0,0,0,1,0,0
166,Stop,40.46071682,-79.92620982,0,0,0,1,0,0
167,Stop,40.46042499,-79.92511548,0,0,0,1,0,0
168,Stop,40.46045012,-79.92488688,0,0,0,1,0,0
169,Stop,40.48801128,-80.03887772,0,0,0,1,0,0
170,No Turn on Red,40.46233507,-79.94445247,1,0,0,0,0,0
171,No Turn on Red,40.46245139,-79.94459463,1,0,0,0,0,0
172,Stop,40.48814387,-80.03895819,0,0,0,1,0,0
173,Stop,40.45361749,-79.89612687,0,0,0,1,0,0
174,Stop,40.48832747,-80.04056215,0,0,0,1,0,0
175,Stop,40.48840906,-80.04034221,0,0,0,1,0,0
176,Stop,40.44494538,-79.89480407,0,0,0,1,0,0
177,Stop,40.44498952,-79.89456899,0,0,0,1,0,0
178,Stop,40.45194966,-79.88845806,0,0,0,1,0,0
179,Stop,40.44507321,-79.8947031,0,0,0,1,0,0
180,Stop,40.44484459,-79.89464141,0,0,0,1,0,0
181,Stop,40.42764019,-79.92797903,0,0,0,1,0,0
182,Stop,40.42603668,-79.986207,0,0,0,1,0,0
183,Stop,40.39235295,-80.01071431,0,0,0,1,0,0
184,Stop,40.39225081,-80.0107695,0,0,0,1,0,0
185,Stop,40.43383054,-79.92901436,0,0,0,1,0,0
186,Stop,40.42257135,-80.00585152,0,0,0,1,0,0
187,Stop,40.42904732,-80.05622753,0,0,0,1,0,0
188,Stop,40.47668578,-80.01066095,0,0,0,1,0,0
189,Stop,40.47687756,-80.01065559,0,0,0,1,0,0
190,Stop,40.48716071,-80.03328526,0,0,0,1,0,0
191,Stop,40.38827313,-80.00471601,0,0,0,1,0,0
192,Traffic Signal Ahead,40.45601298,-79.91019801,0,1,0,0,0,0
193,Stop,40.38841614,-80.004657,0,0,0,1,0,0
194,Stop,40.43022967,-79.91533902,0,0,0,1,0,0
195,Stop,40.46437515,-79.92550451,0,0,0,1,0,0
196,Stop,40.43022967,-79.91512444,0,0,0,1,0,0
197,Stop,40.46877482,-79.90392562,0,0,0,1,0,0
198,Stop,40.45640003,-79.89847404,0,0,0,1,0,0
199,Stop,40.43040734,-79.91531202,0,0,0,1,0,0
200,Stop,40.41889613,-79.92599111,0,0,0,1,0,0
201,Stop,40.41919529,-79.92611047,0,0,0,1,0,0
202,Stop,40.41829037,-79.92426487,0,0,0,1,0,0
203,Stop,40.4358535,-79.9098556,0,0,0,1,0,0
204,Stop,40.46145253,-79.90878166,0,0,0,1,0,0
205,Stop,40.39136406,-80.01060346,0,0,0,1,0,0
206,Stop,40.46229906,-79.90958364,0,0,0,1,0,0
207,Stop,40.46233783,-79.90944148,0,0,0,1,0,0
208,Stop,40.46217781,-79.90954167,0,0,0,1,0,0
209,Stop,40.43161109,-79.91532463,0,0,0,1,0,0
210,Stop,40.38356803,-79.99819556,0,0,0,1,0,0
211,Stop,40.38460194,-79.99874281,0,0,0,1,0,0
212,Stop,40.46427036,-79.90802038,0,0,0,1,0,0
213,Stop,40.38701244,-80.00205413,0,0,0,1,0,0
214,Stop,40.45708663,-79.92352829,0,0,0,1,0,0
215,Stop,40.3883999,-80.00708051,0,0,0,1,0,0
216,Stop,40.45674298,-79.96772957,0,0,0,1,0,0
217,Stop,40.45472452,-79.97373235,0,0,0,1,0,0
218,Stop,40.45482452,-79.973786,0,0,0,1,0,0
219,Stop,40.45465512,-79.97385573,0,0,0,1,0,0
220,Stop,40.45676543,-79.96517879,0,0,0,1,0,0
221,Stop,40.45685101,-79.96521326,0,0,0,1,0,0
222,Stop,40.45649794,-79.96995273,0,0,0,1,0,0
223,Stop,40.45661631,-79.97028532,0,0,0,1,0,0
224,Stop,40.45661427,-79.96999028,0,0,0,1,0,0
225,Stop,40.44786507,-79.95733397,0,0,0,1,0,0
226,Stop,40.44779874,-79.95747881,0,0,0,1,0,0
227,Stop,40.45702948,-79.92376969,0,0,0,1,0,0
228,Stop,40.45648365,-79.97023704,0,0,0,1,0,0
229,Stop,40.45470501,-79.87911913,0,0,0,1,0,0
230,Stop,40.45473767,-79.87933103,0,0,0,1,0,0
231,Stop,40.45397435,-79.8798621,0,0,0,1,0,0
232,Stop,40.45416008,-79.87991575,0,0,0,1,0,0
233,Stop,40.45025718,-79.93326429999998,0,0,0,1,0,0
234,Stop,40.45424376,-79.87997476,0,0,0,1,0,0
235,Stop,40.48761547,-80.04107138,0,0,0,1,0,0
236,Stop,40.48748491,-80.04065296,0,0,0,1,0,0
237,Stop,40.48769299,-80.04076025,0,0,0,1,0,0
238,Stop,40.48771951,-80.04084608,0,0,0,1,0,0
239,Stop,40.46892844,-79.91784097,0,0,0,1,0,0
240,Stop,40.46871827,-79.91781683,0,0,0,1,0,0
241,Stop,40.45694173,-79.92363558,0,0,0,1,0,0
242,Stop,40.47827426,-80.03137599,0,0,0,1,0,0
243,Stop,40.47707783,-79.92937179,0,0,0,1,0,0
244,Stop,40.47695788,-79.92946186,0,0,0,1,0,0
245,Stop,40.47702725,-79.92965498,0,0,0,1,0,0
246,Stop,40.47910009,-79.92878036,0,0,0,1,0,0
247,Stop,40.47828854,-80.03107158,0,0,0,1,0,0
248,Stop,40.47915109,-79.92891447,0,0,0,1,0,0
249,Stop,40.4791919,-79.92871143,0,0,0,1,0,0
250,Stop,40.4808424,-79.92835657,0,0,0,1,0,0
251,Stop,40.45930266,-80.01627781,0,0,0,1,0,0
252,Stop,40.45793889,-80.01605251,0,0,0,1,0,0
253,Stop,40.46829947,-80.02533563,0,0,0,1,0,0
254,Stop,40.46776077,-80.02522834,0,0,0,1,0,0
255,Stop,40.4670661,-80.02515477,0,0,0,1,0,0
256,Stop,40.45142944,-80.01382512,0,0,0,1,0,0
257,Stop,40.4613237,-80.01868749,0,0,0,1,0,0
258,Stop,40.45722337,-79.92624537,0,0,0,1,0,0
259,Stop,40.48226569,-80.03526422,0,0,0,1,0,0
260,Stop,40.48220653,-80.03456148,0,0,0,1,0,0
261,Stop,40.48634355,-80.03685745,0,0,0,1,0,0
262,Stop,40.4698953,-80.02572599,0,0,0,1,0,0
263,Stop,40.45995209,-80.01777721,0,0,0,1,0,0
264,Stop,40.45959291,-80.01785767,0,0,0,1,0,0
265,Stop,40.46808918,-79.95527879,0,0,0,1,0,0
266,Stop,40.46803817,-79.95499448,0,0,0,1,0,0
267,Stop,40.46813221,-79.95512993,0,0,0,1,0,0
268,Stop,40.4594623,-80.01762164,0,0,0,1,0,0
269,Stop,40.46752183,-79.95445386,0,0,0,1,0,0
270,Stop,40.45770719,-80.01718712,0,0,0,1,0,0
271,Stop,40.45781332,-80.01705569,0,0,0,1,0,0
272,Stop,40.45654798,-80.01680088,0,0,0,1,0,0
273,Stop,40.48376691,-79.95221444,0,0,0,1,0,0
274,Stop,40.45711724,-79.92641435,0,0,0,1,0,0
275,Stop,40.45600918,-80.01663459,0,0,0,1,0,0
276,Stop,40.48734229,-80.03033523,0,0,0,1,0,0
277,Stop,40.46012042,-79.97424451,0,0,0,1,0,0
278,Stop,40.48715616,-80.03037894,0,0,0,1,0,0
279,Stop,40.4872704,-80.03008926,0,0,0,1,0,0
280,Stop,40.47574741,-79.93997925,0,0,0,1,0,0
281,Stop,40.47578006,-79.94020456,0,0,0,1,0,0
282,Stop,40.47556174,-79.93988001,0,0,0,1,0,0
283,Stop,40.48728311,-80.03281761,0,0,0,1,0,0
284,Stop,40.48715664,-80.03291953,0,0,0,1,0,0
285,Stop,40.46215929,-80.01827063,0,0,0,1,0,0
286,Stop,40.45710704,-79.9262861,0,0,0,1,0,0
287,Stop,40.46197563,-80.01828673,0,0,0,1,0,0
288,Stop,40.46208175,-80.0181848,0,0,0,1,0,0
289,Stop,40.46209807,-80.01839133,0,0,0,1,0,0
290,Stop,40.46454893,-80.01396032,0,0,0,1,0,0
291,Stop,40.46463872,-80.01382621,0,0,0,1,0,0
292,Traffic Signal Ahead,40.4642308,-79.94841281,0,1,0,0,0,0
293,Stop,40.46452649,-80.01384499,0,0,0,1,0,0
294,Stop,40.4646326,-80.01394451,0,0,0,1,0,0
295,Stop,40.42342983,-79.93425358,0,0,0,1,0,0
296,Stop,40.42421187,-79.93417579999998,0,0,0,1,0,0
297,Stop,40.4567593,-79.92258261,0,0,0,1,0,0
298,Stop,40.42111486,-79.93741923,0,0,0,1,0,0
299,Stop,40.42153492,-79.93702162,0,0,0,1,0,0
300,Stop,40.42114287,-79.9371611,0,0,0,1,0,0
301,Stop,40.44540814,-79.93320622,0,0,0,1,0,0
302,Stop,40.47917833,-79.93593932,0,0,0,1,0,0
303,Stop,40.47927626,-79.93542702,0,0,0,1,0,0
304,Stop,40.39267737,-79.97824785,0,0,0,1,0,0
305,Stop,40.39275091,-79.97833719,0,0,0,1,0,0
306,Stop,40.45631029999999,-79.9287195,0,0,0,1,0,0
307,Stop,40.42332592,-79.94676511,0,0,0,1,0,0
308,Stop,40.42340657,-79.94680266,0,0,0,1,0,0
309,Stop,40.42330448,-79.94688045,0,0,0,1,0,0
310,Stop,40.39124721,-79.97837325,0,0,0,1,0,0
311,Stop,40.46630172,-79.94071067,0,0,0,1,0,0
312,Stop,40.46621193,-79.94090109999998,0,0,0,1,0,0
313,Stop,40.46633641,-79.94084478,0,0,0,1,0,0
314,Stop,40.46617112,-79.94076699,0,0,0,1,0,0
315,Stop,40.46513041,-79.93197203,0,0,0,1,0,0
316,Stop,40.4651549,-79.9317683,0,0,0,1,0,0
317,Stop,40.45638786,-79.92892335,0,0,0,1,0,0
318,Stop,40.4627612,-79.92506278,0,0,0,1,0,0
319,Stop,40.4654916,-79.93456853,0,0,0,1,0,0
320,Stop,40.46540908,-79.93475628,0,0,0,1,0,0
321,Stop,40.46246644,-79.92422325,0,0,0,1,0,0
322,Stop,40.46700891,-79.94594378,0,0,0,1,0,0
323,Stop,40.46714154,-79.94612617,0,0,0,1,0,0
324,Stop,40.46705584,-79.94638094,0,0,0,1,0,0
325,Stop,40.46674167,-79.94486698,0,0,0,1,0,0
326,No Turn on Red,40.44576497,-79.99252104,1,0,0,0,0,0
327,Stop,40.46689675,-79.94494208,0,0,0,1,0,0
328,Stop,40.4668539,-79.9447892,0,0,0,1,0,0
329,Stop,40.45643888,-79.92876509999998,0,0,0,1,0,0
330,Stop,40.46677942,-79.94499305,0,0,0,1,0,0
331,Stop,40.46452658,-79.92991367,0,0,0,1,0,0
332,Stop,40.46449801,-79.93019798,0,0,0,1,0,0
333,Stop,40.46602032,-79.93965008,0,0,0,1,0,0
334,Stop,40.46617336,-79.9397842,0,0,0,1,0,0
335,Stop,40.46199409,-79.92319741,0,0,0,1,0,0
336,Stop,40.46202527,-79.92292115,0,0,0,1,0,0
337,Stop,40.44302419,-80.00648473,0,0,0,1,0,0
338,Stop,40.44267309,-80.00752274,0,0,0,1,0,0
339,Stop,40.44262716,-80.00760053,0,0,0,1,0,0
340,Stop,40.46209874,-79.92310086,0,0,0,1,0,0
341,Stop,40.44246597,-80.00756665,0,0,0,1,0,0
342,Stop,40.44254354,-80.00754519,0,0,0,1,0,0
343,Stop,40.46641268,-79.94247252,0,0,0,1,0,0
344,Stop,40.46657185,-79.94257981,0,0,0,1,0,0
345,Stop,40.38704921,-80.00224725,0,0,0,1,0,0
346,Stop,40.45625822,-79.9288699,0,0,0,1,0,0
347,Stop,40.46653104,-79.94242424,0,0,0,1,0,0
348,Stop,40.43695635,-79.99965325,0,0,0,1,0,0
349,Stop,40.46646574,-79.94264954,0,0,0,1,0,0
350,Traffic Signal Ahead,40.43595704,-79.99981729,0,1,0,0,0,0
351,Stop,40.47365379,-79.88868089,0,0,0,1,0,0
352,Stop,40.47405779,-79.88893838,0,0,0,1,0,0
353,Stop,40.45149883,-80.07844552,0,0,0,1,0,0
354,Stop,40.45140903,-80.07859516,0,0,0,1,0,0
355,Stop,40.45168125,-80.07846116,0,0,0,1,0,0
356,Stop,40.44686832,-80.08409648,0,0,0,1,0,0
357,Stop,40.44687444,-80.08429765,0,0,0,1,0,0
358,Stop,40.44826651,-80.08237182,0,0,0,1,0,0
359,Stop,40.4554092,-79.93030488,0,0,0,1,0,0
360,Stop,40.45335284,-80.07763504,0,0,0,1,0,0
361,Stop,40.46766199,-79.89363941,0,0,0,1,0,0
362,Stop,40.36867192,-79.91346564,0,0,0,1,0,0
363,No Turn on Red,40.44081872,-79.99829379,1,0,0,0,0,0
364,Stop,40.43398184,-80.04657782,0,0,0,1,0,0
365,Stop,40.40611016,-80.02622408,0,0,0,1,0,0
366,Stop,40.41042259,-80.02736536,0,0,0,1,0,0
367,Stop,40.41054717,-80.02750752,0,0,0,1,0,0
368,Stop,40.44346877,-79.98505431,0,0,0,1,0,0
369,Stop,40.44332793,-79.98502154,0,0,0,1,0,0
370,Stop,40.44347694,-79.98487402,0,0,0,1,0,0
371,Stop,40.44264558,-79.97956999,0,0,0,1,0,0
372,Stop,40.44188791,-79.97896777,0,0,0,1,0,0
373,Stop,40.44217370000001,-79.97846352,0,0,0,1,0,0
374,Stop,40.4422084,-79.97821675,0,0,0,1,0,0
375,Stop,40.44238804,-79.97824089,0,0,0,1,0,0
376,Stop,40.44264933,-79.97736113,0,0,0,1,0,0
377,Stop,40.44281876,-79.97738996,0,0,0,1,0,0
378,Stop,40.44284166,-79.97716681,0,0,0,1,0,0
379,Stop,40.44267019,-79.97714535,0,0,0,1,0,0
380,Stop,40.4587067,-80.02977678,0,0,0,1,0,0
381,Stop,40.44311111,-79.976279,0,0,0,1,0,0
382,Stop,40.44328871,-79.9761127,0,0,0,1,0,0
383,Stop,40.4431251,-79.97607286,0,0,0,1,0,0
384,Stop,40.44242698,-79.97570539,0,0,0,1,0,0
385,Stop,40.44230654,-79.97546629,0,0,0,1,0,0
386,Stop,40.44226946,-79.97566236,0,0,0,1,0,0
387,Stop,40.44158358,-79.97682643,0,0,0,1,0,0
388,Stop,40.44194081,-79.97656626,0,0,0,1,0,0
389,Stop,40.45779205,-80.07807403,0,0,0,1,0,0
390,Stop,40.45543574,-79.93045240000002,0,0,0,1,0,0
391,Stop,40.45778797,-80.07826447,0,0,0,1,0,0
392,Stop,40.44489915,-79.98505242,0,0,0,1,0,0
393,Stop,40.45829614,-80.07891356,0,0,0,1,0,0
394,Stop,40.44533801,-79.98411365,0,0,0,1,0,0
395,Stop,40.44527474,-79.98393662,0,0,0,1,0,0
396,Stop,40.44496039,-79.98385348,0,0,0,1,0,0
397,Stop,40.44535908,-79.9839599,0,0,0,1,0,0
398,Stop,40.44566416,-79.98419984,0,0,0,1,0,0
399,Stop,40.45829001,-80.079104,0,0,0,1,0,0
400,Stop,40.44463175,-79.98016276,0,0,0,1,0,0
401,Stop,40.40862381,-80.02499939,0,0,0,1,0,0
402,Stop,40.44540537,-79.97790031,0,0,0,1,0,0
403,Stop,40.44560133,-79.97778498,0,0,0,1,0,0
404,Stop,40.40860951,-80.02459437,0,0,0,1,0,0
405,Stop,40.40871163,-80.02453939,0,0,0,1,0,0
406,Stop,40.44749056,-79.96782875,0,0,0,1,0,0
407,Stop,40.40272354,-80.01589646,0,0,0,1,0,0
408,Stop,40.49893492,-80.01241544,0,0,0,1,0,0
409,Stop,40.49892778,-80.01226389,0,0,0,1,0,0
410,Stop,40.40268453,-80.03075716,0,0,0,1,0,0
411,Stop,40.40260896,-80.0311273,0,0,0,1,0,0
412,Stop,40.45539084,-79.93043631,0,0,0,1,0,0
413,Stop,40.40644471,-80.02808836,0,0,0,1,0,0
414,Stop,40.38840912,-79.9990822,0,0,0,1,0,0
415,Stop,40.40809397,-79.92602765,0,0,0,1,0,0
416,Stop,40.40773247,-79.92651482,0,0,0,1,0,0
417,Stop,40.39244614,-80.00532547,0,0,0,1,0,0
418,Stop,40.39234195,-80.00541934,0,0,0,1,0,0
419,Stop,40.39229905,-80.00512162,0,0,0,1,0,0
420,Stop,40.41788401,-80.07391525,0,0,0,1,0,0
421,Stop,40.43740207,-79.95223603,0,0,0,1,0,0
422,Stop,40.39244001,-80.00940779,0,0,0,1,0,0
423,Stop,40.39099367,-79.99946752,0,0,0,1,0,0
424,Stop,40.43960147,-79.95815582,0,0,0,1,0,0
425,Stop,40.45554186,-79.93035585,0,0,0,1,0,0
426,Stop,40.39110807,-79.99943673,0,0,0,1,0,0
427,Stop,40.39230938,-80.00925249,0,0,0,1,0,0
428,Stop,40.39254226,-80.00594532,0,0,0,1,0,0
429,Stop,40.41324871,-80.01787886,0,0,0,1,0,0
430,Stop,40.41316294,-80.01808270000002,0,0,0,1,0,0
431,Stop,40.43761741,-79.95457276,0,0,0,1,0,0
432,Stop,40.42376148,-79.98658959,0,0,0,1,0,0
433,Stop,40.42474158,-79.98472814,0,0,0,1,0,0
434,Stop,40.44519787,-79.95049256,0,0,0,1,0,0
435,Stop,40.42488247,-79.98450820000002,0,0,0,1,0,0
436,Stop,40.41816618,-80.07357925,0,0,0,1,0,0
437,Stop,40.44317777,-79.95872711,0,0,0,1,0,0
438,Stop,40.45704396,-79.92764145,0,0,0,1,0,0
439,Stop,40.45587042,-79.94669807,0,0,0,1,0,0
440,Stop,40.41867632,-80.07290943,0,0,0,1,0,0
441,Stop,40.41878251,-80.07303549,0,0,0,1,0,0
442,Stop,40.47653245,-79.91736535,0,0,0,1,0,0
443,Stop,40.47661814,-79.91753089,0,0,0,1,0,0
444,Stop,40.45215632,-80.00357004,0,0,0,1,0,0
445,Stop,40.41665059,-80.07547094,0,0,0,1,0,0
